week,rank,skill,owner_repo,installs,installs_raw,url
2026-W28,1,find-skills,vercel-labs/skills,2500000,2.5M,https://www.skills.sh/vercel-labs/skills/find-skills
2026-W28,2,frontend-design,anthropics/skills,655900,655.9K,https://www.skills.sh/anthropics/skills/frontend-design
2026-W28,3,vercel-react-best-practices,vercel-labs/agent-skills,546100,546.1K,https://www.skills.sh/vercel-labs/agent-skills/vercel-react-best-practices
2026-W28,4,agent-browser,vercel-labs/agent-browser,537200,537.2K,https://www.skills.sh/vercel-labs/agent-browser/agent-browser
2026-W28,5,grill-me,mattpocock/skills,529000,529.0K,https://www.skills.sh/mattpocock/skills/grill-me
2026-W28,6,web-design-guidelines,vercel-labs/agent-skills,458400,458.4K,https://www.skills.sh/vercel-labs/agent-skills/web-design-guidelines
2026-W28,7,microsoft-foundry,microsoft/azure-skills,448400,448.4K,https://www.skills.sh/microsoft/azure-skills/microsoft-foundry
2026-W28,12,grill-with-docs,mattpocock/skills,444500,444.5K,https://www.skills.sh/mattpocock/skills/grill-with-docs
2026-W28,13,azure-storage,microsoft/azure-skills,444200,444.2K,https://www.skills.sh/microsoft/azure-skills/azure-storage
2026-W28,23,improve-codebase-architecture,mattpocock/skills,437000,437.0K,https://www.skills.sh/mattpocock/skills/improve-codebase-architecture
2026-W28,24,azure-messaging,microsoft/azure-skills,433200,433.2K,https://www.skills.sh/microsoft/azure-skills/azure-messaging
2026-W28,25,remotion-best-practices,remotion-dev/skills,422200,422.2K,https://www.skills.sh/remotion-dev/skills/remotion-best-practices
2026-W28,26,tdd,mattpocock/skills,419200,419.2K,https://www.skills.sh/mattpocock/skills/tdd
2026-W28,27,azure-hosted-copilot-sdk,microsoft/azure-skills,413600,413.6K,https://www.skills.sh/microsoft/azure-skills/azure-hosted-copilot-sdk
2026-W28,28,lark-approval,open.feishu.cn,391200,391.2K,https://www.skills.sh/site/open.feishu.cn/lark-approval
2026-W28,50,azure-compute,microsoft/azure-skills,387200,387.2K,https://www.skills.sh/microsoft/azure-skills/azure-compute
2026-W28,51,azure-cloud-migrate,microsoft/azure-skills,377100,377.1K,https://www.skills.sh/microsoft/azure-skills/azure-cloud-migrate
2026-W28,52,setup-matt-pocock-skills,mattpocock/skills,374900,374.9K,https://www.skills.sh/mattpocock/skills/setup-matt-pocock-skills
2026-W28,53,lark-okr,open.feishu.cn,371300,371.3K,https://www.skills.sh/site/open.feishu.cn/lark-okr
2026-W28,54,lark-markdown,open.feishu.cn,356200,356.2K,https://www.skills.sh/site/open.feishu.cn/lark-markdown
2026-W28,55,to-prd,mattpocock/skills,356100,356.1K,https://www.skills.sh/mattpocock/skills/to-prd
2026-W28,56,triage,mattpocock/skills,349300,349.3K,https://www.skills.sh/mattpocock/skills/triage
2026-W28,57,lark-doc,larksuite/cli,344800,344.8K,https://www.skills.sh/larksuite/cli/lark-doc
2026-W28,58,to-issues,mattpocock/skills,343500,343.5K,https://www.skills.sh/mattpocock/skills/to-issues
2026-W28,59,lark-base,larksuite/cli,343400,343.4K,https://www.skills.sh/larksuite/cli/lark-base
2026-W28,60,lark-im,larksuite/cli,343000,343.0K,https://www.skills.sh/larksuite/cli/lark-im
2026-W28,61,lark-drive,larksuite/cli,342700,342.7K,https://www.skills.sh/larksuite/cli/lark-drive
2026-W28,62,caveman,juliusbrussee/caveman,342600,342.6K,https://www.skills.sh/juliusbrussee/caveman/caveman
2026-W28,63,lark-shared,larksuite/cli,342600,342.6K,https://www.skills.sh/larksuite/cli/lark-shared
2026-W28,78,handoff,mattpocock/skills,338200,338.2K,https://www.skills.sh/mattpocock/skills/handoff
2026-W28,79,lark-vc-agent,open.feishu.cn,335100,335.1K,https://www.skills.sh/site/open.feishu.cn/lark-vc-agent
2026-W28,80,prototype,mattpocock/skills,328700,328.7K,https://www.skills.sh/mattpocock/skills/prototype
