week,board,rank,skill,owner_repo,installs,captured_at
2026-W27,all_time,1,find-skills,vercel-labs/skills,2300000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,2,frontend-design,anthropics/skills,625500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,3,vercel-react-best-practices,vercel-labs/agent-skills,525700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,4,agent-browser,vercel-labs/agent-browser,511700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,5,grill-me,mattpocock/skills,454700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,6,web-design-guidelines,vercel-labs/agent-skills,438300,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,7,microsoft-foundry,microsoft/azure-skills,431600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,23,remotion-best-practices,remotion-dev/skills,408500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,24,azure-hosted-copilot-sdk,microsoft/azure-skills,400100,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,25,grill-with-docs,mattpocock/skills,375900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,26,improve-codebase-architecture,mattpocock/skills,373300,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,27,azure-compute,microsoft/azure-skills,370800,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,28,azure-cloud-migrate,microsoft/azure-skills,360800,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,29,tdd,mattpocock/skills,355100,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,30,video-edit,agentspace-so/runcomfy-agent-skills,351200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,35,image-edit,agentspace-so/runcomfy-agent-skills,349400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,37,flux-kontext,agentspace-so/runcomfy-agent-skills,349300,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,46,wan-2-7,agentspace-so/runcomfy-agent-skills,348900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,50,gpt-image-edit,agentspace-so/runcomfy-agent-skills,348900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,58,happyhorse-1-0,agentspace-so/runcomfy-agent-skills,348700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,61,seedance-v2,agentspace-so/runcomfy-agent-skills,348600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,62,flux-2-klein,agentspace-so/runcomfy-agent-skills,348500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,63,remotion-render,halt-catch-fire/skills,342100,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,68,agentspace,agentspace-so/skills,335100,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,69,to-prd,mattpocock/skills,333200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,71,kling-3-0,agentspace-so/runcomfy-agent-skills,325600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,72,to-issues,mattpocock/skills,320100,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,73,caveman,juliusbrussee/caveman,316000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,74,sleek-design-mobile-apps,sleekdotdesign/agent-skills,315300,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,76,codex-pet,agentspace-so/runcomfy-agent-skills,314000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,77,setup-matt-pocock-skills,mattpocock/skills,312800,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,78,lark-doc,larksuite/cli,312200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,97,skill-creator,anthropics/skills,300900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,98,azure-quotas,microsoft/azure-skills,297400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,99,ai-video-generation,agentspace-so/runcomfy-agent-skills,294700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,100,ai-image-generation,agentspace-so/runcomfy-agent-skills,294200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,102,runcomfy-cli,agentspace-so/runcomfy-agent-skills,292500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,103,ai-avatar-video,agentspace-so/runcomfy-agent-skills,292300,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,104,triage,mattpocock/skills,292200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,105,face-swap,agentspace-so/runcomfy-agent-skills,292100,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,106,video-inpainting,agentspace-so/runcomfy-agent-skills,290400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,107,image-inpainting,agentspace-so/runcomfy-agent-skills,290100,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,108,azure-upgrade,microsoft/azure-skills,289900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,109,controlnet-pose,agentspace-so/runcomfy-agent-skills,289900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,116,lark-approval,larksuite/cli,281800,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,117,ai-music,agentspace-so/runcomfy-agent-skills,281200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,118,ace-step,agentspace-so/runcomfy-agent-skills,280800,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,119,handoff,mattpocock/skills,276000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,120,github-actions-docs,xixu-me/skills,271600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,121,prototype,mattpocock/skills,268500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,122,supabase-postgres-best-practices,supabase/agent-skills,267800,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,123,openclaw-secure-linux-cloud,xixu-me/skills,266700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,130,azure-enterprise-infra-planner,microsoft/azure-skills,263900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,131,xget,xixu-me/skills,263100,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,132,tzst,xixu-me/skills,263000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,133,xdrop,xixu-me/skills,262700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,134,lark-slides,larksuite/cli,261700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,135,lark-attendance,larksuite/cli,260399,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,136,brainstorming,obra/superpowers,259500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,138,azure-kubernetes,microsoft/azure-skills,256800,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,139,ui-ux-pro-max,nextlevelbuilder/ui-ux-pro-max-skill,249900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,140,lark-okr,larksuite/cli,245900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,141,gpt-image-2,runcomfy-com/skills,240900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,142,image-outpainting,doany-ai/skills,240900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,143,ai-image-generation,runcomfy-com/skills,240900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,144,ai-avatar-video,runcomfy-com/skills,240800,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,145,seedance-v2,doany-ai/skills,240800,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,146,flux-2-klein,runcomfy-com/skills,240700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,147,face-swap,runcomfy-com/skills,240700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,148,face-swap,doany-ai/skills,240700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,153,elevenlabs-music-generation,runcomfy-com/skills,240700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,154,relight,doany-ai/skills,240700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,155,video-extend,doany-ai/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,156,image-to-video,runcomfy-com/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,157,codex-pet,runcomfy-com/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,158,image-inpainting,runcomfy-com/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,159,happyhorse-1-0,doany-ai/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,160,video-edit,runcomfy-com/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,161,flux-2-klein,doany-ai/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,162,video-outpainting,doany-ai/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,163,ai-video-generation,runcomfy-com/skills,240600,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,164,seedance-v2,runcomfy-com/skills,240500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,165,gpt-image-edit,doany-ai/skills,240500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,166,runcomfy-cli,doany-ai/skills,240500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,167,video-inpainting,runcomfy-com/skills,240500,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,168,nano-banana-2,doany-ai/skills,240400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,169,controlnet-pose,runcomfy-com/skills,240400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,170,lipsync,runcomfy-com/skills,240400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,171,ai-image-generation,doany-ai/skills,240400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,172,flux-kontext,doany-ai/skills,240300,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,173,image-inpainting,doany-ai/skills,240300,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,174,image-edit,runcomfy-com/skills,240300,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,179,image-to-video,doany-ai/skills,240300,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,180,ai-avatar-video,doany-ai/skills,240200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,181,ace-step,doany-ai/skills,240200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,182,video-outpainting,runcomfy-com/skills,240200,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,183,lipsync,doany-ai/skills,240100,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,184,kling-3-0,runcomfy-com/skills,240100,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,185,gpt-image-edit,runcomfy-com/skills,240100,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,186,nano-banana-edit,runcomfy-com/skills,240000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,187,elevenlabs-music-generation,doany-ai/skills,240000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,188,image-outpainting,runcomfy-com/skills,240000,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,194,kling-3-0,doany-ai/skills,239900,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,200,vercel-composition-patterns,vercel-labs/agent-skills,236700,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,201,azure-cost,microsoft/azure-skills,232300,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,202,diagnose,mattpocock/skills,231400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,203,simple,roin-orca/skills,225400,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,204,lark-markdown,larksuite/cli,224800,2026-07-05T09:14:36.826932+00:00
2026-W27,all_time,205,just-scrape,scrapegraphai/just-scrape,224600,2026-07-05T09:14:36.826932+00:00
