week,rank,skill,owner_repo,hot_score,hot_change,hot_raw,url
2026-W28,1,find-skills,vercel-labs/skills,79,-368,79-368,https://www.skills.sh/vercel-labs/skills/find-skills
2026-W28,2,ai-video-generation,101-skills/skills,30,-303,30-303,https://www.skills.sh/101-skills/skills/ai-video-generation
2026-W28,7,paperclip-create-agent,getpaperclipai/paperclip,25,-377,25-377,https://www.skills.sh/getpaperclipai/paperclip/paperclip-create-agent
2026-W28,13,grill-me,mattpocock/skills,23,-211,23-211,https://www.skills.sh/mattpocock/skills/grill-me
2026-W28,14,lark-attendance,larksuite/cli,21,-99,21-99,https://www.skills.sh/larksuite/cli/lark-attendance
2026-W28,41,grilling,mattpocock/skills,21,-195,21-195,https://www.skills.sh/mattpocock/skills/grilling
2026-W28,45,lark-skill-maker,open.feishu.cn,18,-76,18-76,https://www.skills.sh/site/open.feishu.cn/lark-skill-maker
2026-W28,70,implement,mattpocock/skills,18,-152,18-152,https://www.skills.sh/mattpocock/skills/implement
2026-W28,74,wind-mcp-skill,wind-information-co-ltd/wind-skills,17,-28,17-28,https://www.skills.sh/wind-information-co-ltd/wind-skills/wind-mcp-skill
2026-W28,75,lark-workflow-meeting-summary,open.feishu.cn,17,-77,17-77,https://www.skills.sh/site/open.feishu.cn/lark-workflow-meeting-summary
2026-W28,76,lark-workflow-standup-report,open.feishu.cn,17,-78,17-78,https://www.skills.sh/site/open.feishu.cn/lark-workflow-standup-report
2026-W28,77,agent-browser,vercel-labs/agent-browser,17,-82,17-82,https://www.skills.sh/vercel-labs/agent-browser/agent-browser
2026-W28,78,handoff,mattpocock/skills,17,-171,17-171,https://www.skills.sh/mattpocock/skills/handoff
2026-W28,90,browser-act,browser-act/skills,14,-105,14-105,https://www.skills.sh/browser-act/skills/browser-act
2026-W28,91,amazon-product-research,nexscope-ai/amazon-skills,14,-111,14-111,https://www.skills.sh/nexscope-ai/amazon-skills/amazon-product-research
2026-W28,92,orca-cli,stablyai/orca,12,-17,12-17,https://www.skills.sh/stablyai/orca/orca-cli
2026-W28,93,orchestration,stablyai/orca,12,-19,12-19,https://www.skills.sh/stablyai/orca/orchestration
2026-W28,94,playwright-cli,microsoft/playwright-cli,10,-26,10-26,https://www.skills.sh/microsoft/playwright-cli/playwright-cli
2026-W28,95,caveman,juliusbrussee/caveman,10,-52,10-52,https://www.skills.sh/juliusbrussee/caveman/caveman
2026-W28,96,computer-use,stablyai/orca,9,-9,9-9,https://www.skills.sh/stablyai/orca/computer-use
2026-W28,97,migrate-to-shoehorn,mattpocock/skills,9,-65,9-65,https://www.skills.sh/mattpocock/skills/migrate-to-shoehorn
2026-W28,98,loop-me,mattpocock/skills,9,-74,9-74,https://www.skills.sh/mattpocock/skills/loop-me
2026-W28,99,resolving-merge-conflicts,mattpocock/skills,9,-77,9-77,https://www.skills.sh/mattpocock/skills/resolving-merge-conflicts
2026-W28,100,caveman-review,juliusbrussee/caveman,8,-35,8-35,https://www.skills.sh/juliusbrussee/caveman/caveman-review
2026-W28,106,agent-browser,101-skills/skills,8,-48,8-48,https://www.skills.sh/101-skills/skills/agent-browser
2026-W28,107,setup-pre-commit,mattpocock/skills,8,-67,8-67,https://www.skills.sh/mattpocock/skills/setup-pre-commit
2026-W28,121,frontend-design,anthropics/skills,8,-86,8-86,https://www.skills.sh/anthropics/skills/frontend-design
2026-W28,122,cross-border-ecommerce,nexscope-ai/ecommerce-skills,8,-93,8-93,https://www.skills.sh/nexscope-ai/ecommerce-skills/cross-border-ecommerce
