week,rank,skill,owner_repo,installs,installs_raw,url
2026-W32,1,find-skills,vercel-labs/skills,2800000,2.8M,https://www.skills.sh/vercel-labs/skills/find-skills
2026-W32,2,frontend-design,anthropics/skills,733100,733.1K,https://www.skills.sh/anthropics/skills/frontend-design
2026-W32,3,grill-me,mattpocock/skills,731400,731.4K,https://www.skills.sh/mattpocock/skills/grill-me
2026-W32,4,grill-with-docs,mattpocock/skills,620700,620.7K,https://www.skills.sh/mattpocock/skills/grill-with-docs
2026-W32,5,agent-browser,vercel-labs/agent-browser,614700,614.7K,https://www.skills.sh/vercel-labs/agent-browser/agent-browser
2026-W32,6,vercel-react-best-practices,vercel-labs/agent-skills,599900,599.9K,https://www.skills.sh/vercel-labs/agent-skills/vercel-react-best-practices
2026-W32,7,improve-codebase-architecture,mattpocock/skills,598300,598.3K,https://www.skills.sh/mattpocock/skills/improve-codebase-architecture
2026-W32,8,tdd,mattpocock/skills,576500,576.5K,https://www.skills.sh/mattpocock/skills/tdd
2026-W32,9,ai-video-generation,101-skills/skills,548500,548.5K,https://www.skills.sh/101-skills/skills/ai-video-generation
2026-W32,14,setup-matt-pocock-skills,mattpocock/skills,526300,526.3K,https://www.skills.sh/mattpocock/skills/setup-matt-pocock-skills
2026-W32,37,web-design-guidelines,vercel-labs/agent-skills,509900,509.9K,https://www.skills.sh/vercel-labs/agent-skills/web-design-guidelines
2026-W32,38,microsoft-foundry,microsoft/azure-skills,499500,499.5K,https://www.skills.sh/microsoft/azure-skills/microsoft-foundry
2026-W32,44,azure-validate,microsoft/azure-skills,494200,494.2K,https://www.skills.sh/microsoft/azure-skills/azure-validate
2026-W32,50,handoff,mattpocock/skills,493600,493.6K,https://www.skills.sh/mattpocock/skills/handoff
2026-W32,51,azure-aigateway,microsoft/azure-skills,493500,493.5K,https://www.skills.sh/microsoft/azure-skills/azure-aigateway
2026-W32,52,azure-kusto,microsoft/azure-skills,493400,493.4K,https://www.skills.sh/microsoft/azure-skills/azure-kusto
2026-W32,53,azure-resource-visualizer,microsoft/azure-skills,493300,493.3K,https://www.skills.sh/microsoft/azure-skills/azure-resource-visualizer
2026-W32,54,triage,mattpocock/skills,491900,491.9K,https://www.skills.sh/mattpocock/skills/triage
2026-W32,55,azure-messaging,microsoft/azure-skills,483100,483.1K,https://www.skills.sh/microsoft/azure-skills/azure-messaging
2026-W32,57,prototype,mattpocock/skills,476200,476.2K,https://www.skills.sh/mattpocock/skills/prototype
2026-W32,58,azure-rbac,microsoft/azure-skills,474500,474.5K,https://www.skills.sh/microsoft/azure-skills/azure-rbac
2026-W32,59,remotion-best-practices,remotion-dev/skills,459900,459.9K,https://www.skills.sh/remotion-dev/skills/remotion-best-practices
2026-W32,61,azure-compute,microsoft/azure-skills,437300,437.3K,https://www.skills.sh/microsoft/azure-skills/azure-compute
2026-W32,62,azure-hosted-copilot-sdk,microsoft/azure-skills,429700,429.7K,https://www.skills.sh/microsoft/azure-skills/azure-hosted-copilot-sdk
2026-W32,63,azure-cloud-migrate,microsoft/azure-skills,427000,427.0K,https://www.skills.sh/microsoft/azure-skills/azure-cloud-migrate
2026-W32,65,caveman,juliusbrussee/caveman,403100,403.1K,https://www.skills.sh/juliusbrussee/caveman/caveman
2026-W32,66,lark-doc,larksuite/cli,398400,398.4K,https://www.skills.sh/larksuite/cli/lark-doc
2026-W32,85,teach,mattpocock/skills,366800,366.8K,https://www.skills.sh/mattpocock/skills/teach
2026-W32,86,lark-approval,larksuite/cli,365900,365.9K,https://www.skills.sh/larksuite/cli/lark-approval
2026-W32,87,azure-quotas,microsoft/azure-skills,363400,363.4K,https://www.skills.sh/microsoft/azure-skills/azure-quotas
2026-W32,88,to-prd,mattpocock/skills,361200,361.2K,https://www.skills.sh/mattpocock/skills/to-prd
2026-W32,89,azure-upgrade,microsoft/azure-skills,355800,355.8K,https://www.skills.sh/microsoft/azure-skills/azure-upgrade
2026-W32,90,to-issues,mattpocock/skills,348300,348.3K,https://www.skills.sh/mattpocock/skills/to-issues
2026-W32,91,lark-slides,larksuite/cli,346000,346.0K,https://www.skills.sh/larksuite/cli/lark-slides
2026-W32,92,lark-attendance,larksuite/cli,344000,344.0K,https://www.skills.sh/larksuite/cli/lark-attendance
2026-W32,93,skill-creator,anthropics/skills,337500,337.5K,https://www.skills.sh/anthropics/skills/skill-creator
2026-W32,94,grilling,mattpocock/skills,330000,330.0K,https://www.skills.sh/mattpocock/skills/grilling
2026-W32,95,azure-enterprise-infra-planner,microsoft/azure-skills,330000,330.0K,https://www.skills.sh/microsoft/azure-skills/azure-enterprise-infra-planner
2026-W32,96,lark-okr,larksuite/cli,329900,329.9K,https://www.skills.sh/larksuite/cli/lark-okr
2026-W32,97,hyperframes-cli,heygen-com/hyperframes,324400,324.4K,https://www.skills.sh/heygen-com/hyperframes/hyperframes-cli
2026-W32,98,azure-kubernetes,microsoft/azure-skills,322800,322.8K,https://www.skills.sh/microsoft/azure-skills/azure-kubernetes
2026-W32,99,supabase-postgres-best-practices,supabase/agent-skills,322300,322.3K,https://www.skills.sh/supabase/agent-skills/supabase-postgres-best-practices
2026-W32,100,hyperframes,heygen-com/hyperframes,318300,318.3K,https://www.skills.sh/heygen-com/hyperframes/hyperframes
2026-W32,101,design-taste-frontend,leonxlnx/taste-skill,314900,314.9K,https://www.skills.sh/leonxlnx/taste-skill/design-taste-frontend
2026-W32,102,lark-markdown,larksuite/cli,309500,309.5K,https://www.skills.sh/larksuite/cli/lark-markdown
2026-W32,103,brainstorming,obra/superpowers,307700,307.7K,https://www.skills.sh/obra/superpowers/brainstorming
2026-W32,104,domain-modeling,mattpocock/skills,307100,307.1K,https://www.skills.sh/mattpocock/skills/domain-modeling
2026-W32,105,azure-cost,microsoft/azure-skills,298300,298.3K,https://www.skills.sh/microsoft/azure-skills/azure-cost
2026-W32,107,ui-ux-pro-max,nextlevelbuilder/ui-ux-pro-max-skill,297200,297.2K,https://www.skills.sh/nextlevelbuilder/ui-ux-pro-max-skill/ui-ux-pro-max
2026-W32,108,codebase-design,mattpocock/skills,296900,296.9K,https://www.skills.sh/mattpocock/skills/codebase-design
2026-W32,109,diagnosing-bugs,mattpocock/skills,292700,292.7K,https://www.skills.sh/mattpocock/skills/diagnosing-bugs
2026-W32,110,writing-great-skills,mattpocock/skills,291600,291.6K,https://www.skills.sh/mattpocock/skills/writing-great-skills
2026-W32,111,hyperframes-registry,heygen-com/hyperframes,285600,285.6K,https://www.skills.sh/heygen-com/hyperframes/hyperframes-registry
2026-W32,112,caveman-commit,juliusbrussee/caveman,281400,281.4K,https://www.skills.sh/juliusbrussee/caveman/caveman-commit
2026-W32,113,lark-vc-agent,larksuite/cli,280900,280.9K,https://www.skills.sh/larksuite/cli/lark-vc-agent
2026-W32,114,simple,roin-orca/skills,279700,279.7K,https://www.skills.sh/roin-orca/skills/simple
2026-W32,115,caveman-review,juliusbrussee/caveman,279500,279.5K,https://www.skills.sh/juliusbrussee/caveman/caveman-review
2026-W32,116,caveman-compress,juliusbrussee/caveman,277000,277.0K,https://www.skills.sh/juliusbrussee/caveman/caveman-compress
2026-W32,117,ask-matt,mattpocock/skills,275300,275.3K,https://www.skills.sh/mattpocock/skills/ask-matt
2026-W32,118,vercel-composition-patterns,vercel-labs/agent-skills,272600,272.6K,https://www.skills.sh/vercel-labs/agent-skills/vercel-composition-patterns
2026-W32,119,caveman-help,juliusbrussee/caveman,271400,271.4K,https://www.skills.sh/juliusbrussee/caveman/caveman-help
2026-W32,120,implement,mattpocock/skills,266000,266.0K,https://www.skills.sh/mattpocock/skills/implement
2026-W32,121,shadcn,shadcn/ui,263700,263.7K,https://www.skills.sh/shadcn/ui/shadcn
2026-W32,122,just-scrape,scrapegraphai/just-scrape,244900,244.9K,https://www.skills.sh/scrapegraphai/just-scrape/just-scrape
2026-W32,123,airunway-aks-setup,microsoft/azure-skills,242600,242.6K,https://www.skills.sh/microsoft/azure-skills/airunway-aks-setup
2026-W32,124,high-end-visual-design,leonxlnx/taste-skill,241100,241.1K,https://www.skills.sh/leonxlnx/taste-skill/high-end-visual-design
2026-W32,125,lark-apps,larksuite/cli,240800,240.8K,https://www.skills.sh/larksuite/cli/lark-apps
2026-W32,126,redesign-existing-projects,leonxlnx/taste-skill,237400,237.4K,https://www.skills.sh/leonxlnx/taste-skill/redesign-existing-projects
2026-W32,127,diagnose,mattpocock/skills,235000,235.0K,https://www.skills.sh/mattpocock/skills/diagnose
2026-W32,128,code-review,mattpocock/skills,231300,231.3K,https://www.skills.sh/mattpocock/skills/code-review
2026-W32,129,cavecrew,juliusbrussee/caveman,229400,229.4K,https://www.skills.sh/juliusbrussee/caveman/cavecrew
2026-W32,130,caveman-stats,juliusbrussee/caveman,228900,228.9K,https://www.skills.sh/juliusbrussee/caveman/caveman-stats
2026-W32,131,write-a-skill,mattpocock/skills,226700,226.7K,https://www.skills.sh/mattpocock/skills/write-a-skill
2026-W32,132,zoom-out,mattpocock/skills,226100,226.1K,https://www.skills.sh/mattpocock/skills/zoom-out
2026-W32,133,reddit-automation,doany-skills/skills,225400,225.4K,https://www.skills.sh/doany-skills/skills/reddit-automation
2026-W32,134,hyperframes-core,heygen-com/hyperframes,221900,221.9K,https://www.skills.sh/heygen-com/hyperframes/hyperframes-core
2026-W32,135,caveman,mattpocock/skills,220900,220.9K,https://www.skills.sh/mattpocock/skills/caveman
2026-W32,136,minimalist-ui,leonxlnx/taste-skill,220300,220.3K,https://www.skills.sh/leonxlnx/taste-skill/minimalist-ui
2026-W32,137,hyperframes-animation,heygen-com/hyperframes,217200,217.2K,https://www.skills.sh/heygen-com/hyperframes/hyperframes-animation
2026-W32,138,entra-agent-id,microsoft/azure-skills,216800,216.8K,https://www.skills.sh/microsoft/azure-skills/entra-agent-id
2026-W32,139,impeccable,pbakaus/impeccable,216700,216.7K,https://www.skills.sh/pbakaus/impeccable/impeccable
2026-W32,140,research,mattpocock/skills,212300,212.3K,https://www.skills.sh/mattpocock/skills/research
2026-W32,141,full-output-enforcement,leonxlnx/taste-skill,210000,210.0K,https://www.skills.sh/leonxlnx/taste-skill/full-output-enforcement
2026-W32,142,systematic-debugging,obra/superpowers,210000,210.0K,https://www.skills.sh/obra/superpowers/systematic-debugging
2026-W32,143,resolving-merge-conflicts,mattpocock/skills,209900,209.9K,https://www.skills.sh/mattpocock/skills/resolving-merge-conflicts
2026-W32,144,azure-cost-optimization,microsoft/azure-skills,208900,208.9K,https://www.skills.sh/microsoft/azure-skills/azure-cost-optimization
2026-W32,145,hyperframes-creative,heygen-com/hyperframes,208400,208.4K,https://www.skills.sh/heygen-com/hyperframes/hyperframes-creative
2026-W32,146,wayfinder,mattpocock/skills,206700,206.7K,https://www.skills.sh/mattpocock/skills/wayfinder
2026-W32,147,writing-plans,obra/superpowers,206400,206.4K,https://www.skills.sh/obra/superpowers/writing-plans
2026-W32,148,remotion-to-hyperframes,heygen-com/hyperframes,205500,205.5K,https://www.skills.sh/heygen-com/hyperframes/remotion-to-hyperframes
2026-W32,149,media-use,heygen-com/hyperframes,205000,205.0K,https://www.skills.sh/heygen-com/hyperframes/media-use
2026-W32,150,industrial-brutalist-ui,leonxlnx/taste-skill,204600,204.6K,https://www.skills.sh/leonxlnx/taste-skill/industrial-brutalist-ui
2026-W32,151,using-superpowers,obra/superpowers,203900,203.9K,https://www.skills.sh/obra/superpowers/using-superpowers
2026-W32,152,stitch-design-taste,leonxlnx/taste-skill,203400,203.4K,https://www.skills.sh/leonxlnx/taste-skill/stitch-design-taste
2026-W32,153,design-an-interface,mattpocock/skills,202300,202.3K,https://www.skills.sh/mattpocock/skills/design-an-interface
2026-W32,154,gpt-taste,leonxlnx/taste-skill,200800,200.8K,https://www.skills.sh/leonxlnx/taste-skill/gpt-taste
2026-W32,155,request-refactor-plan,mattpocock/skills,196200,196.2K,https://www.skills.sh/mattpocock/skills/request-refactor-plan
2026-W32,156,supabase,supabase/agent-skills,195700,195.7K,https://www.skills.sh/supabase/agent-skills/supabase
2026-W32,157,pptx,anthropics/skills,192400,192.4K,https://www.skills.sh/anthropics/skills/pptx
2026-W32,158,qa,mattpocock/skills,192200,192.2K,https://www.skills.sh/mattpocock/skills/qa
2026-W32,162,brandkit,leonxlnx/taste-skill,189800,189.8K,https://www.skills.sh/leonxlnx/taste-skill/brandkit
2026-W32,163,obsidian-vault,mattpocock/skills,189000,189.0K,https://www.skills.sh/mattpocock/skills/obsidian-vault
2026-W32,164,git-guardrails-claude-code,mattpocock/skills,188500,188.5K,https://www.skills.sh/mattpocock/skills/git-guardrails-claude-code
2026-W32,165,requesting-code-review,obra/superpowers,187600,187.6K,https://www.skills.sh/obra/superpowers/requesting-code-review
2026-W32,166,ai-research-explore,lllllllama/rigorpilot-skills,186900,186.9K,https://www.skills.sh/lllllllama/rigorpilot-skills/ai-research-explore
2026-W32,177,test-driven-development,obra/superpowers,185900,185.9K,https://www.skills.sh/obra/superpowers/test-driven-development
2026-W32,178,image-to-code,leonxlnx/taste-skill,185400,185.4K,https://www.skills.sh/leonxlnx/taste-skill/image-to-code
2026-W32,179,edit-article,mattpocock/skills,185300,185.3K,https://www.skills.sh/mattpocock/skills/edit-article
2026-W32,180,imagegen-frontend-web,leonxlnx/taste-skill,185300,185.3K,https://www.skills.sh/leonxlnx/taste-skill/imagegen-frontend-web
2026-W32,181,setup-pre-commit,mattpocock/skills,182700,182.7K,https://www.skills.sh/mattpocock/skills/setup-pre-commit
2026-W32,182,imagegen-frontend-mobile,leonxlnx/taste-skill,181100,181.1K,https://www.skills.sh/leonxlnx/taste-skill/imagegen-frontend-mobile
2026-W32,183,scaffold-exercises,mattpocock/skills,179800,179.8K,https://www.skills.sh/mattpocock/skills/scaffold-exercises
