week,rank,skill,owner_repo,installs,installs_raw,url
2026-W28,1,ai-video-generation,101-skills/skills,22000,22.0K,https://www.skills.sh/101-skills/skills/ai-video-generation
2026-W28,6,find-skills,vercel-labs/skills,13400,13.4K,https://www.skills.sh/vercel-labs/skills/find-skills
2026-W28,7,design-guide,getpaperclipai/paperclip,10300,10.3K,https://www.skills.sh/getpaperclipai/paperclip/design-guide
2026-W28,13,grill-me,mattpocock/skills,7300,7.3K,https://www.skills.sh/mattpocock/skills/grill-me
2026-W28,34,media-use,heygen-com/hyperframes,4300,4.3K,https://www.skills.sh/heygen-com/hyperframes/media-use
2026-W28,35,agent-browser,101-skills/skills,4200,4.2K,https://www.skills.sh/101-skills/skills/agent-browser
2026-W28,36,ai-research-explore,lllllllama/rigorpilot-skills,4200,4.2K,https://www.skills.sh/lllllllama/rigorpilot-skills/ai-research-explore
2026-W28,47,hyperframes-cli,heygen-com/hyperframes,4000,4.0K,https://www.skills.sh/heygen-com/hyperframes/hyperframes-cli
2026-W28,48,frontend-design,anthropics/skills,3800,3.8K,https://www.skills.sh/anthropics/skills/frontend-design
2026-W28,49,hyperframes,heygen-com/hyperframes,3800,3.8K,https://www.skills.sh/heygen-com/hyperframes/hyperframes
2026-W28,55,design-taste-frontend,leonxlnx/taste-skill,3000,3.0K,https://www.skills.sh/leonxlnx/taste-skill/design-taste-frontend
2026-W28,56,web-search,101-skills/skills,2900,2.9K,https://www.skills.sh/101-skills/skills/web-search
2026-W28,60,design-an-interface,mattpocock/skills,2800,2.8K,https://www.skills.sh/mattpocock/skills/design-an-interface
2026-W28,61,resolving-merge-conflicts,mattpocock/skills,2700,2.7K,https://www.skills.sh/mattpocock/skills/resolving-merge-conflicts
2026-W28,62,lark-base,open.feishu.cn,2700,2.7K,https://www.skills.sh/site/open.feishu.cn/lark-base
2026-W28,89,loop-me,mattpocock/skills,2700,2.7K,https://www.skills.sh/mattpocock/skills/loop-me
2026-W28,94,emil-design-eng,emilkowalski/skills,2600,2.6K,https://www.skills.sh/emilkowalski/skills/emil-design-eng
2026-W28,95,agent-browser,vercel-labs/agent-browser,2600,2.6K,https://www.skills.sh/vercel-labs/agent-browser/agent-browser
2026-W28,96,edit-article,mattpocock/skills,2600,2.6K,https://www.skills.sh/mattpocock/skills/edit-article
2026-W28,97,git-guardrails-claude-code,mattpocock/skills,2500,2.5K,https://www.skills.sh/mattpocock/skills/git-guardrails-claude-code
2026-W28,98,review-animations,emilkowalski/skills,2500,2.5K,https://www.skills.sh/emilkowalski/skills/review-animations
2026-W28,99,ubiquitous-language,mattpocock/skills,2500,2.5K,https://www.skills.sh/mattpocock/skills/ubiquitous-language
2026-W28,100,improve-animations,emilkowalski/skills,2500,2.5K,https://www.skills.sh/emilkowalski/skills/improve-animations
2026-W28,101,apple-design,emilkowalski/skills,2500,2.5K,https://www.skills.sh/emilkowalski/skills/apple-design
2026-W28,102,setup-pre-commit,mattpocock/skills,2500,2.5K,https://www.skills.sh/mattpocock/skills/setup-pre-commit
2026-W28,108,lark-doc,larksuite/cli,2500,2.5K,https://www.skills.sh/larksuite/cli/lark-doc
2026-W28,109,web-design-guidelines,vercel-labs/agent-skills,2500,2.5K,https://www.skills.sh/vercel-labs/agent-skills/web-design-guidelines
2026-W28,110,lark-base,larksuite/cli,2400,2.4K,https://www.skills.sh/larksuite/cli/lark-base
