week,rank,skill,owner_repo,installs,captured_at
2026-W27,1,find-skills,vercel-labs/skills,2300000,2026-07-05T09:14:36.826932+00:00
2026-W27,2,frontend-design,anthropics/skills,625500,2026-07-05T09:14:36.826932+00:00
2026-W27,3,vercel-react-best-practices,vercel-labs/agent-skills,525700,2026-07-05T09:14:36.826932+00:00
2026-W27,4,agent-browser,vercel-labs/agent-browser,511700,2026-07-05T09:14:36.826932+00:00
2026-W27,5,grill-me,mattpocock/skills,454700,2026-07-05T09:14:36.826932+00:00
2026-W27,6,web-design-guidelines,vercel-labs/agent-skills,438300,2026-07-05T09:14:36.826932+00:00
2026-W27,7,microsoft-foundry,microsoft/azure-skills,431600,2026-07-05T09:14:36.826932+00:00
2026-W27,23,remotion-best-practices,remotion-dev/skills,408500,2026-07-05T09:14:36.826932+00:00
2026-W27,24,azure-hosted-copilot-sdk,microsoft/azure-skills,400100,2026-07-05T09:14:36.826932+00:00
2026-W27,25,grill-with-docs,mattpocock/skills,375900,2026-07-05T09:14:36.826932+00:00
2026-W27,26,improve-codebase-architecture,mattpocock/skills,373300,2026-07-05T09:14:36.826932+00:00
2026-W27,27,azure-compute,microsoft/azure-skills,370800,2026-07-05T09:14:36.826932+00:00
2026-W27,28,azure-cloud-migrate,microsoft/azure-skills,360800,2026-07-05T09:14:36.826932+00:00
2026-W27,29,tdd,mattpocock/skills,355100,2026-07-05T09:14:36.826932+00:00
2026-W27,30,video-edit,agentspace-so/runcomfy-agent-skills,351200,2026-07-05T09:14:36.826932+00:00
2026-W27,35,image-edit,agentspace-so/runcomfy-agent-skills,349400,2026-07-05T09:14:36.826932+00:00
2026-W27,37,flux-kontext,agentspace-so/runcomfy-agent-skills,349300,2026-07-05T09:14:36.826932+00:00
2026-W27,46,wan-2-7,agentspace-so/runcomfy-agent-skills,348900,2026-07-05T09:14:36.826932+00:00
2026-W27,50,gpt-image-edit,agentspace-so/runcomfy-agent-skills,348900,2026-07-05T09:14:36.826932+00:00
2026-W27,58,happyhorse-1-0,agentspace-so/runcomfy-agent-skills,348700,2026-07-05T09:14:36.826932+00:00
2026-W27,61,seedance-v2,agentspace-so/runcomfy-agent-skills,348600,2026-07-05T09:14:36.826932+00:00
2026-W27,62,flux-2-klein,agentspace-so/runcomfy-agent-skills,348500,2026-07-05T09:14:36.826932+00:00
2026-W27,63,remotion-render,halt-catch-fire/skills,342100,2026-07-05T09:14:36.826932+00:00
2026-W27,68,agentspace,agentspace-so/skills,335100,2026-07-05T09:14:36.826932+00:00
2026-W27,69,to-prd,mattpocock/skills,333200,2026-07-05T09:14:36.826932+00:00
2026-W27,71,kling-3-0,agentspace-so/runcomfy-agent-skills,325600,2026-07-05T09:14:36.826932+00:00
2026-W27,72,to-issues,mattpocock/skills,320100,2026-07-05T09:14:36.826932+00:00
2026-W27,73,caveman,juliusbrussee/caveman,316000,2026-07-05T09:14:36.826932+00:00
2026-W27,74,sleek-design-mobile-apps,sleekdotdesign/agent-skills,315300,2026-07-05T09:14:36.826932+00:00
2026-W27,76,codex-pet,agentspace-so/runcomfy-agent-skills,314000,2026-07-05T09:14:36.826932+00:00
2026-W27,77,setup-matt-pocock-skills,mattpocock/skills,312800,2026-07-05T09:14:36.826932+00:00
2026-W27,78,lark-doc,larksuite/cli,312200,2026-07-05T09:14:36.826932+00:00
2026-W27,97,skill-creator,anthropics/skills,300900,2026-07-05T09:14:36.826932+00:00
2026-W27,98,azure-quotas,microsoft/azure-skills,297400,2026-07-05T09:14:36.826932+00:00
2026-W27,99,ai-video-generation,agentspace-so/runcomfy-agent-skills,294700,2026-07-05T09:14:36.826932+00:00
2026-W27,100,ai-image-generation,agentspace-so/runcomfy-agent-skills,294200,2026-07-05T09:14:36.826932+00:00
2026-W27,102,runcomfy-cli,agentspace-so/runcomfy-agent-skills,292500,2026-07-05T09:14:36.826932+00:00
2026-W27,103,ai-avatar-video,agentspace-so/runcomfy-agent-skills,292300,2026-07-05T09:14:36.826932+00:00
2026-W27,104,triage,mattpocock/skills,292200,2026-07-05T09:14:36.826932+00:00
2026-W27,105,face-swap,agentspace-so/runcomfy-agent-skills,292100,2026-07-05T09:14:36.826932+00:00
2026-W27,106,video-inpainting,agentspace-so/runcomfy-agent-skills,290400,2026-07-05T09:14:36.826932+00:00
2026-W27,107,image-inpainting,agentspace-so/runcomfy-agent-skills,290100,2026-07-05T09:14:36.826932+00:00
2026-W27,108,azure-upgrade,microsoft/azure-skills,289900,2026-07-05T09:14:36.826932+00:00
2026-W27,109,controlnet-pose,agentspace-so/runcomfy-agent-skills,289900,2026-07-05T09:14:36.826932+00:00
2026-W27,116,lark-approval,larksuite/cli,281800,2026-07-05T09:14:36.826932+00:00
2026-W27,117,ai-music,agentspace-so/runcomfy-agent-skills,281200,2026-07-05T09:14:36.826932+00:00
2026-W27,118,ace-step,agentspace-so/runcomfy-agent-skills,280800,2026-07-05T09:14:36.826932+00:00
2026-W27,119,handoff,mattpocock/skills,276000,2026-07-05T09:14:36.826932+00:00
2026-W27,120,github-actions-docs,xixu-me/skills,271600,2026-07-05T09:14:36.826932+00:00
2026-W27,121,prototype,mattpocock/skills,268500,2026-07-05T09:14:36.826932+00:00
2026-W27,122,supabase-postgres-best-practices,supabase/agent-skills,267800,2026-07-05T09:14:36.826932+00:00
2026-W27,123,openclaw-secure-linux-cloud,xixu-me/skills,266700,2026-07-05T09:14:36.826932+00:00
